address_id,address_service_id,address_name,address_service_name,address_type,address_service_prefix,address_parent,address-service_parent, Simillar
833,30,An Giang,An Giang,0,NULL,NULL,0,1
834,10,Bà Rịa - Vũng Tàu,Bà Rịa Vũng Tàu,0,NULL,NULL,0,1
144,28,Bắc Giang,Bắc Giang,0,NULL,NULL,0,1
835,62,Bắc Kạn,Bắc Kạn,0,NULL,NULL,0,1
836,55,Bạc Liêu,Bạc Liêu,0,NULL,NULL,0,1
837,17,Bắc Ninh,Bắc Ninh,0,NULL,NULL,0,1
838,37,Bến Tre,Bến Tre,0,NULL,NULL,0,1
826,25,Bình Định,Bình Định,0,NULL,NULL,0,1
839,4,Bình Dương,Bình Dương,0,NULL,NULL,0,1
840,23,Bình Phước,Bình Phước,0,NULL,NULL,0,1
812,13,Bình Thuận,Bình Thuận,0,NULL,NULL,0,1
841,39,Cà Mau,Cà Mau,0,NULL,NULL,0,1
806,12,Cần Thơ,Cần Thơ,0,NULL,NULL,0,1
842,63,Cao Bằng,Cao Bằng,0,NULL,NULL,0,1
129,3,Đà Nẵng,Đà Nẵng,0,NULL,NULL,0,1
843,11,Đắk Lắk,Đắk Lắk,0,NULL,NULL,0,1
844,38,Đắk Nông,Đắk Nông,0,NULL,NULL,0,1
845,58,Điện Biên,Điện Biên,0,NULL,NULL,0,1
823,5,Đồng Nai,Đồng Nai,0,NULL,NULL,0,1
846,47,Đồng Tháp,Đồng Tháp,0,NULL,NULL,0,1
847,22,Gia Lai,Gia Lai,0,NULL,NULL,0,1
830,61,Hà Giang,Hà Giang,0,NULL,NULL,0,1
807,45,Hà Nam,Hà Nam,0,NULL,NULL,0,1
1,2,Hà Nội,Hà Nội,0,NULL,NULL,0,1
848,46,Hà Tĩnh,Hà Tĩnh,0,NULL,NULL,0,1
805,21,Hải Dương,Hải Dương,0,NULL,NULL,0,1
135,7,Hải Phòng,Hải Phòng,0,NULL,NULL,0,1
849,53,Hậu Giang,Hậu Giang,0,NULL,NULL,0,1
850,29,Hòa Bình,Hòa Bình,0,NULL,NULL,0,1
816,24,Hưng Yên,Hưng Yên,0,NULL,NULL,0,1
831,6,Khánh Hòa,Khánh Hòa,0,NULL,NULL,0,1
851,16,Kiên Giang,Kiên Giang,0,NULL,NULL,0,1
852,49,Kon Tum,Kon Tum,0,NULL,NULL,0,1
853,59,Lai Châu,Lai Châu,0,NULL,NULL,0,1
854,14,Lâm Đồng,Lâm Đồng,0,NULL,NULL,0,1
134,60,Lạng Sơn,Lạng Sơn,0,NULL,NULL,0,1
808,34,Lào Cai,Lào Cai,0,NULL,NULL,0,1
855,8,Long An,Long An,0,NULL,NULL,0,1
811,35,Nam Định,Nam Định,0,NULL,NULL,0,1
821,20,Nghệ An,Nghệ An,0,NULL,NULL,0,1
856,41,Ninh Bình,Ninh Bình,0,NULL,NULL,0,1
857,43,Ninh Thuận,Ninh Thuận,0,NULL,NULL,0,1
858,42,Phú Thọ,Phú Thọ,0,NULL,NULL,0,1
869,44,Phú Yên,Phú Yên,0,NULL,NULL,0,1
818,50,Quảng Bình,Quảng Bình,0,NULL,NULL,0,1
859,9,Quảng Nam,Quảng Nam,0,NULL,NULL,0,1
860,36,Quảng Ngãi,Quảng Ngãi,0,NULL,NULL,0,1
819,18,Quảng Ninh,Quảng Ninh,0,NULL,NULL,0,1
143,51,Quảng Trị,Quảng Trị,0,NULL,NULL,0,1
